image, root, root_name, position, angle, posX, posY, root_order, root_ontology, date, growth
A1_R006.rsml, a6a8a248-6225-4655-9421-17a96841199b, N4.2, 1.5627742, 0.0, 11.6543665, 3.2215667, 0,  Root,  18, 0.22278462
A1_R006.rsml, 7262b0de-f82a-4de2-99b7-60695f3146aa, N3.2, 1.5403583, 0.0, 9.39165, 2.4532166, 0,  Root,  11, 0.51243037
A1_R006.rsml, 7262b0de-f82a-4de2-99b7-60695f3146aa, N3.2, 2.9804213, 0.0, 8.377767, 3.4501667, 0,  Root,  14, 0.480021
A1_R006.rsml, 2995e0f0-0bd4-4154-be47-11846a44885d, N2.2, 2.1656365, 0.0, 9.04875, 3.0183666, 0,  Root,  11, 0.72093767
A1_R006.rsml, 38032417-2bac-4176-bd9c-51948c18caaa, N3.1, 0.96715295, 0.0, 11.908366, 2.2521334, 0,  Root,  11, 0.31941643
A1_R006.rsml, f429425e-805f-4aad-8b13-1a507ac3f96e, N4.1, 1.6614989, 0.0, 9.692217, 2.667, 0,  Root,  18, 0.23674981
A1_R006.rsml, 8b5a671a-a93b-49ae-8aa6-841dcac48dd8, N2.1, 0.8650929, 0.0, 11.641666, 2.7029834, 0,  Root,  11, 0.2855328
A1_R006.rsml, fc5d419d-1e77-491d-a4b1-310b59de2ef1, N1.2, 1.0992303, 0.0, 11.698816, 2.9717999, 0,  Root,  11, 0.3652531
A1_R006.rsml, 34f08516-e7dc-4ba3-894e-8c01ac1ca7e6, N1.1, 2.0106962, 0.0, 9.101666, 3.0268333, 0,  Root,  11, 0.6701606
A1_R006.rsml, 34f08516-e7dc-4ba3-894e-8c01ac1ca7e6, N1.1, 4.4489627, 0.0, 8.221133, 5.28955, 0,  Root,  14, 0.8127555
A1_R006.rsml, 9867a5a4-9964-4436-a9d0-4d967812ea5e, root_0, 1.9462161, 0.0, 10.551583, 4.3052998, 0,  Root,  3, 0.6462512
A1_R006.rsml, 9867a5a4-9964-4436-a9d0-4d967812ea5e, root_0, 5.130577, 0.0, 10.602384, 7.46125, 0,  Root,  7, 0.79609025
A1_R006.rsml, 9867a5a4-9964-4436-a9d0-4d967812ea5e, root_0, 13.039079, 0.0, 10.01395, 15.237884, 0,  Root,  11, 1.9771254
A1_R006.rsml, 9867a5a4-9964-4436-a9d0-4d967812ea5e, root_0, 17.171541, 0.0, 10.00125, 19.282833, 0,  Root,  14, 1.3774875
A1_R006.rsml, 9867a5a4-9964-4436-a9d0-4d967812ea5e, root_0, 17.184397, 0.0, 0,  Root,  14, Infinity
A1_R006.rsml, e8da93fc-107b-4e19-beff-c6ae68527318, lat_23, 0.87696016, 0.0, 10.492316, 19.081749, 1,  Lateral root,  18, 0.17458442
A1_R006.rsml, e8da93fc-107b-4e19-beff-c6ae68527318, lat_23, 0.9174661, 0.0, 1,  Lateral root,  18, Infinity
A1_R006.rsml, 0680ffbc-55d7-4b39-9eb3-e4b240601d5d, lat_22, 0.31122506, 0.0, 9.7409, 17.0434, 1,  Lateral root,  18, 0.0511661
A1_R006.rsml, 0680ffbc-55d7-4b39-9eb3-e4b240601d5d, lat_22, 0.35816774, 0.0, 1,  Lateral root,  18, Infinity
A1_R006.rsml, 31f6aca5-8402-496d-839d-299b8c8a46b8, lat_21, 0.32704112, 0.0, 10.3505, 16.660284, 1,  Lateral root,  18, 0.05304201
A1_R006.rsml, 31f6aca5-8402-496d-839d-299b8c8a46b8, lat_21, 0.39870712, 0.0, 1,  Lateral root,  18, Infinity
A1_R006.rsml, a9a145f5-2ee0-4c8e-bdf4-1f89b5be024a, lat_20, 0.3362599, 0.0, 10.479616, 15.980833, 1,  Lateral root,  18, 0.055300053
A1_R006.rsml, a9a145f5-2ee0-4c8e-bdf4-1f89b5be024a, lat_20, 0.35276532, 0.0, 1,  Lateral root,  18, Infinity
A1_R006.rsml, 64741844-3041-4f87-8db0-46f26cfdc6a8, lat_19, 0.37450504, 0.0, 9.616016, 12.113683, 1,  Lateral root,  14, 0.09212076
A1_R006.rsml, 64741844-3041-4f87-8db0-46f26cfdc6a8, lat_19, 0.84216267, 0.0, 9.569449, 12.481983, 1,  Lateral root,  18, 0.11691441
A1_R006.rsml, 836726d9-4239-4356-b0fe-c1fa66ff9819, lat_18, 1.250485, 0.0, 11.2268, 11.717867, 1,  Lateral root,  18, 0.15536086
A1_R006.rsml, 808a9ff5-54ee-404a-950e-f53cc3848a84, lat_17, 0.35239306, 0.0, 9.673166, 10.651067, 1,  Lateral root,  14, 0.08564818
A1_R006.rsml, b8cc7155-8536-4629-b825-78aa67eb45c3, lat_16, 1.0730028, 0.0, 9.3218, 8.2042, 1,  Lateral root,  14, 0.17831151
A1_R006.rsml, b8cc7155-8536-4629-b825-78aa67eb45c3, lat_16, 1.13261, 0.0, 1,  Lateral root,  14, Infinity
A1_R006.rsml, b6d3b41c-c375-4aa6-a1f7-d5781d29bc68, lat_15, 4.8438106, 0.0, 9.190567, 10.4521, 1,  Lateral root,  14, 0.69140834
A1_R006.rsml, b6d3b41c-c375-4aa6-a1f7-d5781d29bc68, lat_15, 4.847983, 0.0, 1,  Lateral root,  14, Infinity
A1_R006.rsml, f8da33cd-1adc-4482-94f8-06cb229f7c21, lat_14, 0.34263772, 0.0, 10.742084, 6.2103, 1,  Lateral root,  7, 0.11257714
A1_R006.rsml, f8da33cd-1adc-4482-94f8-06cb229f7c21, lat_14, 1.5408168, 0.0, 1,  Lateral root,  11, 0.29954475
A1_R006.rsml, f8da33cd-1adc-4482-94f8-06cb229f7c21, lat_14, 1.4116533, 0.0, 10.739966, 7.27075, 1,  Lateral root,  14, -0.043054502
A1_R006.rsml, 9b2ba0a7-47bc-4119-9c90-6fdf90e1be1c, lat_13, 0.41770458, 0.0, 10.830983, 6.0282664, 1,  Lateral root,  7, 0.13706125
A1_R006.rsml, 9b2ba0a7-47bc-4119-9c90-6fdf90e1be1c, lat_13, 1.653672, 0.0, 11.137899, 7.1966667, 1,  Lateral root,  11, 0.30899185
A1_R006.rsml, 9b2ba0a7-47bc-4119-9c90-6fdf90e1be1c, lat_13, 1.757634, 0.0, 1,  Lateral root,  11, Infinity
A1_R006.rsml, b78c4258-5a72-4b7d-a000-ed8699d6f4e0, lat_12, 0.5110951, 0.0, 10.1727, 5.8885665, 1,  Lateral root,  7, 0.16781186
A1_R006.rsml, b78c4258-5a72-4b7d-a000-ed8699d6f4e0, lat_12, 1.9117118, 0.0, 9.459383, 7.0485, 1,  Lateral root,  11, 0.35015416
A1_R006.rsml, b78c4258-5a72-4b7d-a000-ed8699d6f4e0, lat_12, 2.6582274, 0.0, 9.75995, 7.5903664, 1,  Lateral root,  14, 0.24883854
A1_R006.rsml, 0d8bd717-3052-46ec-b19d-ee67be5bb9c0, lat_11, 0.9621042, 0.0, 11.19505, 6.3394165, 1,  Lateral root,  11, 0.13702829
A1_R006.rsml, 0d8bd717-3052-46ec-b19d-ee67be5bb9c0, lat_11, 1.0769881, 0.0, 1,  Lateral root,  11, Infinity
A1_R006.rsml, 7a15eeba-1c16-4854-9885-57a55888298d, lat_10, 0.71963304, 0.0, 10.028767, 5.522383, 1,  Lateral root,  7, 0.23565744
A1_R006.rsml, 7a15eeba-1c16-4854-9885-57a55888298d, lat_10, 1.6867534, 0.0, 9.510183, 6.328833, 1,  Lateral root,  11, 0.24178009
A1_R006.rsml, 0126f2ad-32cc-4943-9de1-494a47942456, lat_9, 0.750284, 0.0, 11.209867, 5.1646667, 1,  Lateral root,  7, 0.24846917
A1_R006.rsml, 0126f2ad-32cc-4943-9de1-494a47942456, lat_9, 1.4852455, 0.0, 11.3665, 5.877983, 1,  Lateral root,  11, 0.18374036
A1_R006.rsml, 0126f2ad-32cc-4943-9de1-494a47942456, lat_9, 1.5569276, 0.0, 1,  Lateral root,  11, Infinity
A1_R006.rsml, d8e15b90-6a47-4b9a-b04c-ee9e49df6104, lat_8, 0.26064944, 0.0, 10.82675, 4.6439667, 1,  Lateral root,  7, 0.085915275
A1_R006.rsml, d8e15b90-6a47-4b9a-b04c-ee9e49df6104, lat_8, 1.4650531, 0.0, 11.427883, 5.6028166, 1,  Lateral root,  11, 0.3011009
A1_R006.rsml, 6fdfe5f6-eac3-4c69-af57-3f3d7d025c93, lat_7, 0.4766644, 0.0, 10.227734, 4.76885, 1,  Lateral root,  7, 0.11816928
A1_R006.rsml, 6fdfe5f6-eac3-4c69-af57-3f3d7d025c93, lat_7, 1.9648365, 0.0, 9.573683, 6.0261497, 1,  Lateral root,  14, 0.21259601
A1_R006.rsml, 14cfd23c-71e8-49e6-ac2e-e3421c9917ce, lat_6, 0.7090796, 0.0, 9.96315, 4.6228, 1,  Lateral root,  7, 0.17449808
A1_R006.rsml, 14cfd23c-71e8-49e6-ac2e-e3421c9917ce, lat_6, 2.1304016, 0.0, 9.158816, 5.750983, 1,  Lateral root,  11, 0.3553305
A1_R006.rsml, 01e68c1d-eaa8-4f57-9d3c-aca28f4f2b65, lat_5, 0.3989164, 0.0, 10.126133, 3.9772167, 1,  Lateral root,  7, 0.09865896
A1_R006.rsml, 01e68c1d-eaa8-4f57-9d3c-aca28f4f2b65, lat_5, 1.7462795, 0.0, 9.0932, 4.8259997, 1,  Lateral root,  11, 0.33684078
A1_R006.rsml, 01e68c1d-eaa8-4f57-9d3c-aca28f4f2b65, lat_5, 2.0658338, 0.0, 8.925983, 5.0969334, 1,  Lateral root,  14, 0.10651811
A1_R006.rsml, 47b6d44f-30f6-42cb-9893-0ca9bced6dff, lat_4, 0.35986215, 0.0, 10.181167, 3.66395, 1,  Lateral root,  7, 0.08795742
A1_R006.rsml, 18ad545b-407f-4c7f-bbfb-246998c9da03, lat_3, 0.26349452, 0.0, 10.837334, 3.66395, 1,  Lateral root,  7, 0.06487932
A1_R006.rsml, 18ad545b-407f-4c7f-bbfb-246998c9da03, lat_3, 0.6253179, 0.0, 11.171766, 3.76555, 1,  Lateral root,  11, 0.09045584
A1_R006.rsml, 655a0656-45ea-43ee-9137-6d682edf8af6, lat_2, 0.33679888, 0.0, 10.943167, 3.4395833, 1,  Lateral root,  7, 0.082440324
A1_R006.rsml, 655a0656-45ea-43ee-9137-6d682edf8af6, lat_2, 0.80095845, 0.0, 11.4046, 3.4755666, 1,  Lateral root,  11, 0.116039895
A1_R006.rsml, a3f5fd40-4498-4a59-bce0-7984841290b0, lat_1, 0.26447433, 0.0, 10.2997, 3.4649832, 1,  Lateral root,  7, 0.064026564
A1_R006.rsml, a3f5fd40-4498-4a59-bce0-7984841290b0, lat_1, 0.2688866, 0.0, 1,  Lateral root,  7, Infinity
A1_R006.rsml, e08a66e1-bdee-4593-bbaf-08b66202069f, lat_1, 0.43419233, 0.0, 10.915649, 4.233333, 1,  Lateral root,  7, 0.107967004
A1_R006.rsml, 68113cc1-7b54-4578-b0dd-c26f7c8378ed, lat_4, 1.4055068, 0.0, 9.743016, 6.7648664, 1,  Lateral root,  11, 0.20009637
A1_R006.rsml, ca9d7bf1-b90b-4f15-bcb1-8db105ddbcf5, lat_3, 0.3614039, 0.0, 10.862733, 5.7806168, 1,  Lateral root,  7, 0.12012402
A1_R006.rsml, f4675c73-358f-4a43-bbdb-30c2d8b12c35, lat_2, 1.0834818, 0.0, 9.903883, 6.0621333, 1,  Lateral root,  11, 0.15311755
A2_R008.rsml, 10be3651-192c-4008-b583-7552aa533ac1, root_0, 1.8407527, 0.0, 9.637183, 4.6460834, 0,  Root,  3, 0.61268663
A2_R008.rsml, 10be3651-192c-4008-b583-7552aa533ac1, root_0, 4.3559465, 0.0, 9.46785, 7.1395164, 0,  Root,  7, 0.6287985
A2_R008.rsml, 10be3651-192c-4008-b583-7552aa533ac1, root_0, 11.217481, 0.0, 10.221383, 13.929783, 0,  Root,  11, 1.7153835
A2_R008.rsml, 10be3651-192c-4008-b583-7552aa533ac1, root_0, 17.301188, 0.0, 10.593917, 19.9898, 0,  Root,  14, 2.0279024
A2_R008.rsml, 10be3651-192c-4008-b583-7552aa533ac1, root_0, 17.36643, 0.0, 0,  Root,  14, Infinity
A2_R008.rsml, 10be3651-192c-4008-b583-7552aa533ac1, root_0, 19.080479, 0.0, 0,  Root,  18, 0.4285121
A2_R008.rsml, 208d357b-1ecc-486c-bff9-6ab7236cde75, lat_23, 1.4134122, 0.0, 9.958917, 21.0058, 1,  Lateral root,  18, 0.35217786
A2_R008.rsml, 208d357b-1ecc-486c-bff9-6ab7236cde75, lat_23, 1.505512, 0.0, 1,  Lateral root,  18, Infinity
A2_R008.rsml, 86e91cba-07c8-4c6a-8036-57245e40cd90, lat_22, 1.0497863, 0.0, 9.884833, 20.298834, 1,  Lateral root,  18, 0.26052004
A2_R008.rsml, 5373baff-4559-42d3-945e-0cb824944fc0, lat_21, 1.0054153, 0.0, 11.444817, 18.321867, 1,  Lateral root,  18, 0.199886
A2_R008.rsml, d79edeaf-4244-492e-9ecd-a3afb4fb2635, lat_20, 1.5087644, 0.0, 11.75385, 17.46885, 1,  Lateral root,  18, 0.30064446
A2_R008.rsml, ab44b3b7-9eea-46b3-9984-c0870cb18675, lat_19, 0.93463874, 0.0, 9.457267, 16.143816, 1,  Lateral root,  18, 0.15451474
A2_R008.rsml, 1b25ac06-e29a-4219-9e7e-bc19392b1fe8, lat_18, 0.79474765, 0.0, 9.4869, 14.063133, 1,  Lateral root,  18, 0.13046572
A2_R008.rsml, 936af2f4-3096-47aa-8a36-5e7a52415ebc, lat_17, 0.8134259, 0.0, 9.36625, 13.3096, 1,  Lateral root,  18, 0.11495133
A2_R008.rsml, 77623941-662f-4fc0-b7f9-a8401ade3e67, lat_16, 0.42298484, 0.0, 9.260417, 11.015133, 1,  Lateral root,  14, 0.105573855
A2_R008.rsml, 77623941-662f-4fc0-b7f9-a8401ade3e67, lat_16, 1.0740885, 0.0, 8.75665, 11.3792, 1,  Lateral root,  18, 0.1627759
A2_R008.rsml, a3c25994-c214-4346-a4f2-276c3a636d4a, lat_15, 4.4102054, 0.0, 7.90575, 9.605433, 1,  Lateral root,  11, 0.6296056
A2_R008.rsml, a3c25994-c214-4346-a4f2-276c3a636d4a, lat_15, 6.1738067, 0.0, 7.1966667, 11.1865835, 1,  Lateral root,  14, 0.5878671
A2_R008.rsml, 2d165628-2d6a-43d7-b6df-5626e587f44b, lat_14, 4.0726914, 0.0, 7.874, 9.1567, 1,  Lateral root,  11, 0.5817087
A2_R008.rsml, 2d165628-2d6a-43d7-b6df-5626e587f44b, lat_14, 6.3088117, 0.0, 7.01675, 11.171766, 1,  Lateral root,  14, 0.7453734
A2_R008.rsml, 089f6cfd-d19f-4b5d-be29-62f869826160, lat_13, 3.5393107, 0.0, 10.1346, 8.902699, 1,  Lateral root,  11, 0.5048209
A2_R008.rsml, 089f6cfd-d19f-4b5d-be29-62f869826160, lat_13, 5.4089766, 0.0, 10.19175, 10.761133, 1,  Lateral root,  14, 0.62322193
A2_R008.rsml, 089f6cfd-d19f-4b5d-be29-62f869826160, lat_13, 5.581681, 0.0, 1,  Lateral root,  14, Infinity
A2_R008.rsml, 5c364ecd-fb29-4e89-a587-4bc8c8e5878f, lat_12, 0.17856804, 0.0, 9.389533, 5.3213, 1,  Lateral root,  7, 0.058097508
A2_R008.rsml, 5c364ecd-fb29-4e89-a587-4bc8c8e5878f, lat_12, 1.931072, 0.0, 8.4201, 6.7564, 1,  Lateral root,  11, 0.438126
A2_R008.rsml, a58cdd20-7e0f-431e-b287-595c28b4c816, lat_11, 0.2295627, 0.0, 9.819217, 5.281083, 1,  Lateral root,  7, 0.07615622
A2_R008.rsml, aac3f86e-751d-47dc-9928-dbfebc00d82b, lat_10, 0.1915234, 0.0, 9.3598995, 5.07365, 1,  Lateral root,  7, 0.06353023
A2_R008.rsml, 9bce4355-3298-4b0c-b963-cd74caa5494e, lat_9, 0.24401785, 0.0, 9.870016, 5.0884666, 1,  Lateral root,  7, 0.07868144
A2_R008.rsml, fd6d05a7-cadd-44d2-ba75-43f082c87b79, lat_8, 0.2724992, 0.0, 9.914467, 4.9551167, 1,  Lateral root,  7, 0.08935714
A2_R008.rsml, 9431827b-e214-49d8-ad51-9a948976a188, lat_7, 0.3984145, 0.0, 9.292167, 5.0694165, 1,  Lateral root,  7, 0.13280483
A2_R008.rsml, 40de3e31-fdd5-4b9b-8fc6-bc4a87dc7bdb, lat_6, 0.35165688, 0.0, 9.285816, 4.2672, 1,  Lateral root,  7, 0.08690784
A2_R008.rsml, 05c0500d-58d7-4f68-9243-8ab230fcafaa, lat_5, 0.30643263, 0.0, 9.355666, 3.9962666, 1,  Lateral root,  7, 0.07483606
A2_R008.rsml, b78b8d5b-069f-4762-80b3-200944f1c390, lat_4, 0.22339305, 0.0, 10.03935, 3.6554832, 1,  Lateral root,  7, 0.05553073
A2_R008.rsml, c5135485-ba40-43da-94e5-45b156b1a2a3, lat_3, 0.30177376, 0.0, 9.446683, 3.6279666, 1,  Lateral root,  7, 0.074231826
A2_R008.rsml, 99b309c1-5865-4987-b95a-321534e1310b, lat_2, 0.36995158, 0.0, 9.374717, 3.3633833, 1,  Lateral root,  7, 0.09129695
A2_R008.rsml, 9bd2e36b-3422-4b3c-bf45-bc7e9868c7f2, lat_1, 0.30927983, 0.0, 10.081683, 3.5009665, 1,  Lateral root,  7, 0.07540681
A2_R008.rsml, 5f13f482-59b9-47d2-8e87-b865870f4cd3, lat_24, 1.6476313, 0.0, 9.9102335, 21.547667, 1,  Lateral root,  18, 0.41154757
A2_R008.rsml, 396c7c27-cb87-46dc-ab59-a857860e843d, N2.2, 3.101622, 0.0, 7.9248, 3.9539332, 0,  Root,  18, 0.22342537
A2_R008.rsml, 8b0fbffb-ef6b-4bdb-8787-b6051bc87cd6, N2.1, 2.5803385, 0.0, 12.414249, 3.79095, 0,  Root,  18, 0.2216609
A2_R008.rsml, 8b0fbffb-ef6b-4bdb-8787-b6051bc87cd6, N2.1, 2.6755838, 0.0, 0,  Root,  18, Infinity
A2_R008.rsml, 212cf598-2c3f-47f1-85df-085223bdae4d, N1.2, 5.0420656, 0.0, 6.474883, 5.412317, 0,  Root,  18, 0.38164428
A2_R008.rsml, 212cf598-2c3f-47f1-85df-085223bdae4d, N1.2, 5.0722647, 0.0, 0,  Root,  23, 0.0060398104
A2_R008.rsml, 322ef5b8-b950-405e-9155-c75eccb205d4, N1.1, 3.58067, 0.0, 12.9772835, 4.303183, 0,  Root,  18, 0.2633941
A2_R008.rsml, 322ef5b8-b950-405e-9155-c75eccb205d4, N1.1, 5.587456, 0.0, 13.921316, 6.0473166, 0,  Root,  23, 0.40135723
A3_R010.rsml, 127942ea-9fa8-4824-91f5-ee92e92483c7, N1.1, 0.89007914, 0.0, 9.666817, 3.67665, 0,  Root,  14, 0.29394785
A3_R010.rsml, 127942ea-9fa8-4824-91f5-ee92e92483c7, N1.1, 3.5573595, 0.0, 0,  Root,  14, Infinity
A3_R010.rsml, 127942ea-9fa8-4824-91f5-ee92e92483c7, N1.1, 3.5274363, 0.0, 0,  Root,  14, -Infinity
A3_R010.rsml, 1e9aa32b-047a-42ff-8dae-0b2a604d11e8, N2.1, 0.72273564, 0.0, 9.116484, 3.1898167, 0,  Root,  11, Infinity
A3_R010.rsml, 1e9aa32b-047a-42ff-8dae-0b2a604d11e8, N2.1, 1.3592061, 0.0, 8.739717, 3.6914666, 0,  Root,  14, 0.21215682
A3_R010.rsml, 4ada6c8e-057d-4b42-bbbc-9daec94cdc5e, root_0, 1.3741955, 0.0, 10.318749, 3.4903834, 0,  Root,  3, 0.45545316
A3_R010.rsml, 4ada6c8e-057d-4b42-bbbc-9daec94cdc5e, root_0, 4.492611, 0.0, 10.1854, 6.5891833, 0,  Root,  7, 0.77960384
A3_R010.rsml, 4ada6c8e-057d-4b42-bbbc-9daec94cdc5e, root_0, 6.2364335, 0.0, 10.162117, 8.31215, 0,  Root,  11, 0.43595564
A3_R010.rsml, 4ada6c8e-057d-4b42-bbbc-9daec94cdc5e, root_0, 9.196214, 0.0, 10.149417, 11.2522, 0,  Root,  14, 0.9865934
A3_R010.rsml, 07442771-14f1-412d-8884-25f849366c41, lat_14, 2.544921, 0.0, 9.692217, 8.822267, 1,  Lateral root,  14, 0.42377722
A3_R010.rsml, 21b0b206-1d1b-4a6d-8756-d0d25a4c72f0, lat_13, 1.5329292, 0.0, 11.273367, 7.0887165, 1,  Lateral root,  11, 0.38102928
A3_R010.rsml, 21b0b206-1d1b-4a6d-8756-d0d25a4c72f0, lat_13, 2.823128, 0.0, 11.91895, 8.193617, 1,  Lateral root,  14, 0.43006626
A3_R010.rsml, 21b0b206-1d1b-4a6d-8756-d0d25a4c72f0, lat_13, 2.8058264, 0.0, 11.908366, 8.1788, 1,  Lateral root,  14, -Infinity
A3_R010.rsml, df0f78be-070e-46ad-8556-1a0ac1f1d4ae, lat_12, 2.2660067, 0.0, 9.154583, 7.8168497, 1,  Lateral root,  11, 0.56313205
A3_R010.rsml, df0f78be-070e-46ad-8556-1a0ac1f1d4ae, lat_12, 5.1064115, 0.0, 8.390467, 10.488083, 1,  Lateral root,  14, 0.9468016
A3_R010.rsml, 422bcedf-46cc-4202-a149-d2c376a80350, lat_10, 2.3703597, 0.0, 11.63955, 7.6707997, 1,  Lateral root,  11, 0.5903775
A3_R010.rsml, 422bcedf-46cc-4202-a149-d2c376a80350, lat_10, 2.9356666, 0.0, 11.940117, 8.149166, 1,  Lateral root,  14, 0.18843563
A3_R010.rsml, 422bcedf-46cc-4202-a149-d2c376a80350, lat_10, 2.93284, 0.0, 11.938, 8.14705, 1,  Lateral root,  14, -Infinity
A3_R010.rsml, 1075bdc1-9288-44f5-a83b-2c58fb24555b, lat_9, 2.5108788, 0.0, 8.106833, 6.9553666, 1,  Lateral root,  14, 0.32376838
A3_R010.rsml, b10b43cd-cf63-4929-b532-0c2133033560, lat_8, 2.380875, 0.0, 12.0290165, 7.224183, 1,  Lateral root,  11, 0.59455407
A3_R010.rsml, b10b43cd-cf63-4929-b532-0c2133033560, lat_8, 4.8949347, 0.0, 13.508567, 9.1821, 1,  Lateral root,  14, 0.83801985
A3_R010.rsml, b10b43cd-cf63-4929-b532-0c2133033560, lat_8, 4.9664283, 0.0, 1,  Lateral root,  14, Infinity
A3_R010.rsml, 6aff1e6c-2f2b-472b-b19f-45afc9c2a1d2, lat_7, 2.6928325, 0.0, 8.0772, 6.8304834, 1,  Lateral root,  11, 0.62601316
A3_R010.rsml, 1e5ba093-f003-4ab3-bf4e-a51daf40f994, lat_6, 2.3323452, 0.0, 9.044517, 7.2284164, 1,  Lateral root,  11, 0.58213735
A3_R010.rsml, 1e5ba093-f003-4ab3-bf4e-a51daf40f994, lat_6, 4.643167, 0.0, 8.678333, 9.463616, 1,  Lateral root,  14, 0.7702739
A3_R010.rsml, d6e6188d-7b62-4eca-8e9c-acd1b943a715, lat_5, 0.73137283, 0.0, 9.55675, 3.2490833, 1,  Lateral root,  7, 0.18205579
A3_R010.rsml, d6e6188d-7b62-4eca-8e9c-acd1b943a715, lat_5, 2.9104004, 0.0, 1,  Lateral root,  7, Infinity
A3_R010.rsml, d6e6188d-7b62-4eca-8e9c-acd1b943a715, lat_5, 1.6649848, 0.0, 8.62965, 3.1919334, 1,  Lateral root,  11, -0.3113539
A3_R010.rsml, 7e2b3eaf-94c5-4cf7-9ea9-cda265946f6b, lat_4, 3.3662214, 0.0, 1,  Lateral root,  7, 0.8411824
A3_R010.rsml, 7e2b3eaf-94c5-4cf7-9ea9-cda265946f6b, lat_4, 0.8483661, 0.0, 10.9093, 3.7168667, 1,  Lateral root,  11, -0.62946385
