image, root_name, root, length, vector_length, surface, volume, direction, diameter, root_order, root_ontology, parent_name, parent, insertion_position, insertion_angle, n_child, child_density, first_child, insertion_first_child, last_child, insertion_last_child
1_1.2.rsml, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 10.390163, 9.902206, 16.574125, 2.1372483, 286.1294924082304, 0.48757753, 0, Root, -1, -1, -0.0021166666, -57.29577951308232, 14, 2.2727163, d4c9ca81-9de3-4196-a345-23a5d745eb93, 3.3939178, 5e4ec838-a449-4670-bff1-c755e3c35d8e, 9.553948
1_1.2.rsml, lat_14, 5e4ec838-a449-4670-bff1-c755e3c35d8e, 1.3022289, 1.2809004, 0.18743132, 0.0021935352, 283.541069278849, 0.04495708, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 9.553948, 49.97026502446025, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_13, 4c81aaf3-58e6-4f85-ad1d-ea0e835c75f3, 1.7303123, 1.7060897, 0.30514988, 0.004493405, 331.43919151291084, 0.049136817, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 5.7717853, 87.3956308833848, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_12, b68deb5e-cc7b-4746-9218-89f2b31d1845, 2.8718483, 2.8046207, 0.42330268, 0.0050833006, 294.7604746132954, 0.044172104, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 6.2467027, 55.187218154029345, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_11, 94542d38-d7b8-4cae-863b-f028f63081ed, 2.247721, 2.202777, 0.40654913, 0.006576175, 289.12518605744134, 0.048690926, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 6.4200153, 56.246170682948126, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_10, da62659e-4e86-4f19-a229-83430b74a25f, 3.5023777, 3.3910663, 0.5360017, 0.006690698, 321.14197099944295, 0.048542578, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 6.4189134, 59.57657092224634, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_9, ea430006-c2a2-4595-98cf-bd00e6087158, 2.5628376, 2.5033398, 0.36625382, 0.004377533, 215.6232527761297, 0.042551544, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 7.3373604, 48.951815517319645, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_8, af3001ee-fa6f-4fe4-986f-3715514350b7, 2.5441701, 2.4767592, 0.39498493, 0.0050238078, 214.23705222369728, 0.047976445, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 7.5284038, 56.72983003845506, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_7, 9f42c299-0523-499b-9dd2-f9579c3d1906, 1.5023866, 1.4495279, 0.24371672, 0.00335198, 303.59373970081947, 0.049442686, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 5.2961087, 46.38815865386872, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_6, 8caf7887-55a6-4f23-99cd-32fe4fd1e6ed, 1.0970542, 1.0774257, 0.12249731, 0.0011144218, 297.7122638065215, 0.0347912, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 3.7310376, 7.521622880071482, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_5, 881eaf71-8cd7-439e-9d89-18088c04f499, 3.9673824, 3.7607718, 0.63297755, 0.008256597, 178.20433461578165, 0.04930647, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 6.3151784, 55.510108516852526, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_4, 9a128407-baa4-49ad-a208-d3d28c89a3f6, 2.076599, 2.0590022, 0.2679721, 0.0027903689, 181.49968232425934, 0.040086973, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 6.3518224, 61.4695988318504, 0, 0.0, null, null, null, null
1_1.2.rsml, lat_3, 68ed75e5-07bd-4c4f-8def-1581f0543ec4, 1.3555516, 1.3221412, 0.17100441, 0.0018687751, 235.3302609845841, 0.034175567, 1, Lateral root, H1_1_8, ffd8b373-41e0-4f11-ac65-77bdd993c855, 4.3456144, 85.26670190022683, 0, 0.0, null, null, null, null
